Question,Grade applied,KCs applied,Source,label
"The net of a rectangular prism and some of its dimensions are shown in the diagram below. 
y2015_grade6_q12_img_1.png 
What is the total surface area, in square centimeters, of the rectangular prism? 
 A 174 
 B 258 
 C 348 
 D 360 

",6,6.G.4,MCAS,3
"Jacob wrote the expression shown below. 
$$\frac{6}{10} + \frac{7}{100}$$ 
Which of these is equivalent to the expression Jacob wrote? 
 A $$\frac{6}{10} + \frac{7}{10}$$ 
 B $$\frac{60}{10} + \frac{7}{100}$$ 
 C $$\frac{60}{100} + \frac{7}{100}$$ 
 D $$\frac{60}{100} + \frac{70}{100}$$ 

",4,4.NF.5,MCAS,1
"Yolanda took a bus to visit her grandmother for a four-day visit. 
a. {'element_type': 'text+math_expression', 'element_value': 'At the bus station she waited for $$\\frac{3}{4}$$ of an hour until it was time to board the bus. How many minutes did Yolanda wait to board the bus? Show or explain how you got your answer.'} 
Yolanda brought a CD to listen to on the bus. 
 4_1 The CD is 78 minutes long. 
 4_2 The bus ride was $$2\frac{1}{2}$$ hours long. 

b. {'element_type': 'text-plain', 'element_value': 'How many minutes longer was the bus ride than the CD? Show or explain how you got your answer.'} 
c. {'element_type': 'number+text', 'element_value': 'Yolanda wondered how many minutes are in 4 days. What is the total number of minutes in 4 days? Show or explain how you got your answer.'} 
",5,5.MD.1,MCAS,2
"Ryan put 24 books on shelves. He put 8 books on each shelf. 
Which equation can be used to find s, the number of shelves Ryan put books on? 
 A $$8 \times 24 = s$$ 
 B $$8 \div 24 = s$$ 
 C $$s \times 8 = 24$$ 
 D $$s \div 8 = 24$$ 

",3,3.OA.6,MCAS,0
"Use the shapes labeled T from your tool kit to answer question 7. 
Anjani used the shapes labeled T to cover the figure shown below without any gaps or overlaps. 
y2016_grade3_q7_img_1.png 
What fraction of the figure does one of the shapes labeled T cover? 
 A $$\frac{1}{3}$$ 
 B $$\frac{1}{2}$$ 
 C $$\frac{2}{3}$$ 
 D $$\frac{3}{1}$$ 

",3,3.G.2,MCAS,0
"There are 43 students and 1720 apples. Each student has 9 Skittles. If the apples are divided equally among the students,how many does each student get?",5,['5.NBT.B.6'],ASDiv,2
"Nathan had 24 balloons. He gave some of his balloons to 3 friends. He gave each friend 5 balloons. 
How many balloons does Nathan have now? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
y2018_grade3_q30_img_1.png 
",3,3.OA.8,MCAS,0
"Erin uses $$\frac{2}{8}$$ yard of string to make 1 bracelet. Erin will make 6 bracelets. 
a. {'element_type': 'text-plain', 'element_value': 'How many yards of string will Erin use to make 6 bracelets? Show or explain how you got your answer.'} 
Erin uses $$\frac{3}{8}$$ yard of string to make 1 necklace. Erin will make 5 necklaces. 
b. {'element_type': 'text-plain', 'element_value': 'How many yards of string will Erin use to make 5 necklaces? Show or explain how you got your answer.'} 
c. {'element_type': 'text-plain', 'element_value': 'The total number of yards of string Erin will use for 6 bracelets and 5 necklaces is between what two whole numbers? Show or explain how you got your answer.'} 
",4,4.NF.4,MCAS,1
"Alani earned $45 for 3 hours of baby-sitting. At the same rate, for how many hours would she need to baby-sit to earn $75?",3,['3.OA.A.3'],GSM8K-TRAIN,0
"The owners of a melon farm recorded the weights of nine melons in a line plot, as shown. 
Melons y2018_grade5_q14_img_1.png 
When the owners record the weight of a tenth melon, the difference in weight between the heaviest and the lightest melons is $$ 2 \frac{3}{4} $$ pounds. Which of the following could be the weight of the tenth melon? 
 A $$ 2 \frac{1}{2} $$ pounds 
 B $$ 2 \frac{3}{4} $$ pounds 
 C $$ 7 \frac{1}{2} $$ pounds 
 D $$ 7 \frac{3}{4} $$ pounds 

",5,5.MD.2,MCAS,2
"Aiesha made 4 quarts of applesauce. She will put the applesauce in jars that hold $$\frac{1}{3}$$ quart each. Aiesha solved the equation below to find n, the number of jars she needs to hold all the applesauce. 
$$4 \div \frac{1}{3} = n$$ 
Which of the following models best represents this equation? 
y2016_grade5_q9_img_1.png 
 A y2016_grade5_q9_img_2.png 
 B y2016_grade5_q9_img_3.png 
 C y2016_grade5_q9_img_4.png 
 D y2016_grade5_q9_img_5.png 

",5,5.NF.7,MCAS,2
"At the beginning of the day, a water tank contained 526.8 gallons of water. During the day, some of the water was used to water a garden. At the end of the day, the water tank contained 318.05 gallons of water. 
What was the total amount of water used that day? 
 A 202.75 gallons 
 B 208.75 gallons 
 C 208.85 gallons 
 D 210.80 gallons 

",6,6.NS.3,MCAS,3
"The expressions in the table below show the amount of money, in dollars, that Natalie and Drew each earned babysitting last week. 
Earnings from Babysitting y2016_grade5_q21_img_1.png 
Based on the expressions in the table, which of the following statements is true? 
 A Drew earned $4 less than Natalie. 
 B Natalie earned $8 more than Drew. 
 C Natalie earned 12 times as much as Drew. 
 D Drew earned 4 times as much as Natalie. 

",5,5.OA.2,MCAS,2
"Lily wrote the expression shown in the box below. 
$$6x - 3$$ 
a. {'element_type': 'text-plain', 'element_value': 'What is the coefficient of the variable in Lily’s expression?'} 
b. {'element_type': 'text+math_expression', 'element_value': 'What is the value of Lily’s expression when $$x = 5$$? Show or explain how you got your answer.'} 
Pedro wrote an expression that is equivalent to the statement shown in the box below. 
8 more than the difference of $$2x$$ and 1 
c. {'element_type': 'text-plain', 'element_value': 'What could be the expression that Pedro wrote?'} 
d. {'element_type': 'text+math_expression', 'element_value': 'What is the difference of the value of Lily’s expression when $$x = 5$$ and the value of Pedro’s expression when $$x = 5$$? Show or explain how you got your answer.'} 
",6,6.EE.2,MCAS,3
"Jessica is thinking of a number. She listed some of the factors of her number in the box shown below. 
2, 3, 4, 6 
Which of the following could be Jessica’s number? 
 A 12 
 B 14 
 C 16 
 D 18 

",4,4.OA.4,MCAS,1
"Compute: 
$$\left(9 + 2\right) \times \left(8 - 5\right)$$ 
",5,5.OA.1,MCAS,2
"This table shows the relationship between the number of pies sold at a farm and the total profit made, in dollars, from the pies sold at the farm. 
Profit Made from Pies Sold y2017_grade6_q5_img_1.png 
Part A 
Based on the table, what is the profit made, in dollars, from each pie sold at the farm? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part B 
Write an equation that can be used to find $$p$$, the total profit made, in dollars, when $$n$$ pies are sold at the farm. 
Enter your equation in the space provided. 
Part C 
Use the equation you wrote in Part B to calculate the profit made, in dollars, when 15 pies are sold at the farm. Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part D 
One day, the farm made a profit of $144 from the pies sold. How many pies were sold at the farm on that day? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
",6,6.EE.9,MCAS,3
"The chart below shows the number of minutes for each field day activity. 
Numbers of Laps Children Ran y2015_grade3_q7_img_1.png 
Which two activities take a total of exactly one hour? 
 A Races and Egg Toss 
 B Egg Toss and Kickball 
 C Races and Tag 
 D Tag and Kickball 

",3,3.MD.1,MCAS,0
"The length of Eagle Trail is $$6\frac{3}{5}$$ miles. 
The length of Bear Trail is $$2\frac{7}{10} miles. 
What is the difference in length between Eagle Trail and Bear Trail? 
 A $$3\frac{1}{10} miles$$ 
 B $$3\frac{9}{10} miles$$ 
 C $$4\frac{1}{10} miles$$ 
 D $$4\frac{4}{5} miles$$ 

",5,5.NF.1,MCAS,2
"A P.E. teacher needs to divide 14 male students and 7 female students into teams, each with the same combination of male students and female students and nobody left out. What is the greatest number of teams that can be formed?",6,['6.NS.B.4'],ASDiv,3
"Leigh wants to find the number of ounces of pretzels in a 4-pound container. She knows the ratio of ounces to pounds is 16 : 1. 
Which of the following equations can Leigh use to find x, the number of ounces of pretzels in the 4-pound container? 
 A $$\frac{x ounces}{4 pounds} = \frac{16 ounces}{1 pound}$$ 
 B $$\frac{x ounces}{4 pounds} = \frac{1 pound}{16 ounces}$$ 
 C $$\frac{4 ounces}{x ounces} = \frac{16 pounds}{1 pound}$$ 
 D $$\frac{4 pounds}{x ounces} = \frac{16 pounds}{1 ounce}$$ 

",6,6.RP.3,MCAS,3
"Which of the following shapes has the greatest number of lines of symmetry? 
 A y2015_grade4_q18_img_1.png 
 B y2015_grade4_q18_img_2.png 
 C y2015_grade4_q18_img_3.png 
 D y2015_grade4_q18_img_4.png 

",4,4.G.3,MCAS,1
"A pet store has 5 fish tanks with 10 fish in each tank. A shopper buys 8 fish and takes them home. 
After the shopper leaves the store, what is the total number of fish left in the pet store’s tanks? 
 A 23 
 B 42 
 C 50 
 D 58 

",3,3.OA.8,MCAS,0
"The heights of six roller coasters are shown in the table below. 
Roller Coaster Heights y2015_grade3_q12_img_1.png 
Based on the table, the tallest roller coaster is how many feet taller than the shortest roller coaster? 
Write your answer in the Answer Box below. 
Answer Box y2015_grade3_q12_img_2.png 
",3,3.NBT.2,MCAS,0
"A radio station manager has $1000 in prize money to give away. She will give away $50 in prize money each hour. 
Which of the following expressions represents the amount of prize money the radio station manager will have left to give away after h hours, where h is any number of hours? 
 A $$1000 + 50h$$ 
 B $$1000h + 50$$ 
 C $$1000 - 50h$$ 
 D $$1000h - 50$$ 

",6,6.EE.6,MCAS,3
"Which of the following expressions represents the number one million? 
 A $$10^{8}$$ 
 B $$10^{7}$$ 
 C $$10^{6}$$ 
 D $$10^{5}$$ 

",5,5.NBT.2,MCAS,2
"Ms. Shaw has a quilt that is in the shape of a rectangle. The quilt is 7 feet long and 6 feet wide, as shown below. 
y2015_grade3_q3_img_1.png 
a. [{'element_id': 'a_1', 'element_type': 'text-plain', 'element_value': 'What is the perimeter, in feet, of Ms. Shaw’s quilt? Show or explain how you got your answer.'}, {'element_id': 'a_2', 'element_type': 'text-answer_with_red_line', 'element_value': 'Perimeter:<<red_line>>feet'}] 
Ms. Garcia also has a quilt in the shape of a rectangle. Ms. Garcia’s quilt has the same perimeter as Ms. Shaw’s quilt but has a different area. 
b. [{'element_id': 'b_1', 'element_type': 'text-plain', 'element_value': 'What could be the length and the width, in feet, of Ms. Garcia’s quilt? Show or explain how you got your answer.'}, {'element_id': 'b_2', 'element_type': 'text-answer_with_red_line', 'element_value': 'Length:<<red_line>>feet'}, {'element_id': 'b_3', 'element_type': 'text-answer_with_red_line', 'element_value': 'Width:<<red_line>>feet'}] 
",3,3.MD.8,MCAS,0
"Points A, B, C, and D are shown on the coordinate grid below. 
y2016_grade5_q1_img_1.png 
What point represents the ordered pair (3, 4)? 
 A point A 
 B point B 
 C point C 
 D point D 

",5,5.G.1,MCAS,2
"Ethan’s car can travel 30 miles per gallon of gasoline. Gasoline costs $4 per gallon, including tax. Ethan drove his car 180 miles on a trip. 
What was the total cost, in dollars, of the gasoline that the car used for Ethan’s trip? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
",6,6.RP.3,MCAS,3
"This question has four parts. 
These circle graphs represent the number of sixth-grade and seventh-grade students on academic teams at two middle schools. 
South
Middle School Students
on Academic Teams y2018_grade6_q12_img_1.png 
Jefferson
Middle School Students
on Academic Teams y2018_grade6_q12_img_2.png 
Part A 
Based on the data in the circle graph for South Middle School, what percent of students on academic teams are sixth-grade students? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part B 
Based on the data in the circle graph for South Middle School, what is the total number of sixth-grade students on academic teams? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part C 
Based on the data in both circle graphs, which school has a greater number of sixth-grade students on academic teams? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part D 
This circle graph represents the number of male and female seventh-grade students on academic teams at Jefferson Middle School. 
Jefferson Middle School
Seventh-Grade Students
on Academic Teams y2018_grade6_q12_img_3.png 
Based on the data in the circle graph, what is the total number of seventh-grade female students on academic teams at Jefferson Middle School? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
",6,6.SP.4,MCAS,3
"The table below shows the number of lunches sold each day for three days. 
Lunches Sold y2015_grade4_q2_img_1.png 
Which of these has a value that is closest to the total number of lunches sold for the three days? 
 A $$200 + 400 + 200$$ 
 B $$250 + 450 + 300$$ 
 C $$300 + 500 + 300$$ 
 D $$350 + 450 + 300$$ 

",4,4.NBT.3,MCAS,1
"Elijah wrote two numbers that follow the rules in the box below. 
 2_1 Both numbers are less than 10. 
 2_2 Both numbers are whole numbers. 
 2_3 The least common multiple of the numbers is 18. 
 2_4 The greatest common factor of the numbers is 3. 

What two numbers did Elijah write? 
",6,6.NS.4,MCAS,3
"Points A, B, C, and D are shown on the number line below. 
y2016_grade6_q13_img_1.png 
Which point is located at -7? 
 A point A 
 B point B 
 C point C 
 D point D 

",6,6.NS.6,MCAS,3
"Abigail, Beatrice, and Carson combine their eggs to sell them at the market. If Abigail has 37 eggs, Beatrice has 49 eggs, and Carson has 14 eggs, and if eggs can only be sold in cartons of 12, how many eggs will be left over if all cartons are sold?",4,"['2.OA.A.1', '4.OA.A.3']",GSM8K-TRAIN,1
"Toni drew a diagram of the deck she is building, as shown below. 
Toni’s Deck y2015_grade3_q16_img_1.png 
What is the area of the deck Toni is building? 
 A 24 square meters 
 B 40 square meters 
 C 64 square meters 
 D 80 square meters 

",3,3.MD.7,MCAS,0
"What is the value of this expression? 
$$ − \left( −8 \right) $$ 
 A -8 
 B $$ - \frac{1}{8} $$ 
 C $$ \frac{1}{8} $$ 
 D 8 

",6,6.NS.6,MCAS,3
"There are 36 boxes of colored pencils in a supply closet. Each box has 144 colored pencils in it. 
What is the total number of colored pencils in the supply closet? 
 A 1,296 
 B 5,184 
 C 6,284 
 D 9,072 

",5,5.NBT.5,MCAS,2
"Which of the following inequalities is true? 
 A $$0.37 \lt 0.3$$ 
 B $$0.3 \gt 0.298$$ 
 C $$0.298 \lt 0.2$$ 
 D $$0.2 \gt 0.37$$ 

",5,5.NBT.3,MCAS,2
"How many sides does a parallelogram have in all? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
y2018_grade3_q37_img_1.png 
",3,3.G.1,MCAS,0
"Amanda bought 4 bags of potatoes at a market. Each bag of potatoes weighed 5.75 pounds. 
Which of the following expressions can be used to find the total weight, in pounds, of the bags of potatoes Amanda bought? 
 A $$ \left( 4 \times 5 \right) + \left( 0.7 + 0.05 \right) $$ 
 B $$ \left( 4 \times 5 \right) + \left( 4 \times 7 \right) + \left( 4 \times 0.5 \right) $$ 
 C $$ \left( 4 \times 50 \right) + \left( 4 \times 7 \right) + \left( 4 \times 0.5 \right) $$ 
 D $$ \left( 4 \times 5 \right) + \left( 4 \times 0.7 \right) + \left( 4 \times 0.05 \left) $$ 

",5,5.NBT.7,MCAS,2
"A shape and its side lengths are shown. 
y2017_grade3_q1_img_1.png 
Which statement about the shape is true? 
 A The shape is a rhombus and a square. 
 B The shape is a rectangle and a square. 
 C The shape is a rhombus and a parallelogram. 
 D The shape is a rectangle and a parallelogram. 

",3,3.G.1,MCAS,0
"Alyssa is solving this equation. 
$$ 56 \div 7 = n $$ 
Which of these could Alyssa use to find the value of n? 
 A $$ 7 \div 56 = n $$ 
 B $$ 7 \times 56 = n $$ 
 C $$ n \div 7 = 56 $$ 
 D $$ n \times 7 = 56 $$ 

",3,3.OA.6,MCAS,0
"Justin divided 403 by a number and got a quotient of 26 with a remainder of 13. What was the number Justin divided by? 
 A 13 
 B 14 
 C 15 
 D 16 

",6,6.NS.2,MCAS,3
"This question has three parts. 
Ben walked a distance of 1.2 kilometers. Alice walked a distance of 0.85 kilometer. Walter walked a distance of 50 meters. 
Part A 
What is the distance, in meters, that Ben walked? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part B 
How many more meters did Ben walk than Alice walked? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
Part C 
What is the total distance, in kilometers, that Ben, Alice, and Walter walked? Show or explain how you got your answer. 
Enter your answer and your work or explanation in the space provided. 
",5,5.MD.1,MCAS,2
"Laroy wrote the number sentence shown. 
$$ 8 \times \left( 3 + 2 \right) = \boxed{?} $$ 
 
 A $$ \left( 8 \times 3 \right) + 2 = \boxed{?} $$ 
 B $$ \left( 8 \times 3 \right) \times \left( 8 \times 2 \right) = \boxed{?} $$ 
 C $$ \left( 8 \times 3 \right) + \left( 8 \times 2 \right) = \boxed{?} $$ 
 D $$ \left( 8 + 3 \right) \times \left( 8 + 2 \right) = \boxed{?} $$ 

",3,3.OA.5,MCAS,0
"Bonnie has a card with a picture that models a multiplication fact, as shown below. 
y2015_grade3_q11_img_1.png 
In the Answer Box below, write a division fact that matches Bonnie’s picture. 
Answer Box y2015_grade3_q11_img_2.png 
",3,3.OA.7,MCAS,0
"A farmer has 20 bins of apples. Each bin has 25 red apples and 30 green apples. 
Which of the following expressions can be used to find the total number of apples in all the bins? 
 A $$20 + \left(25 \times 30\right)$$ 
 B $$20 \times \left(25 + 30\right)$$ 
 C $$\left(20 + 25\right) \times \left(20 \times 30\right)$$ 
 D $$\left(20 \times 25\right) \times \left(20 \times 30\right)$$ 

",5,5.OA.2,MCAS,2
"Which of the following graphs shows a constant rate of change between the variables x and y? 
 A y2015_grade6_q18_img_1.png 
 B y2015_grade6_q18_img_2.png 
 C y2015_grade6_q18_img_3.png 
 D y2015_grade6_q18_img_4.png 

",6,6.EE.9,MCAS,3
"Which of these figures has the same area as a rectangle that has a length of 6 inches and a width of 5 inches? 
 A y2018_grade3_q10_img_1.png 
 B y2018_grade3_q10_img_2.png 
 C y2018_grade3_q10_img_3.png 
 D y2018_grade3_q10_img_4.png 

",3,3.MD.7,MCAS,0
"A police officer recorded the speeds, in miles per hour, of 21 cars that passed by on a highway. The results are shown in the line plot below. 
Speeds of Cars on a Highway\n(miles per hour) y2015_grade6_q10_img_1.png 
What is the total number of cars that had a recorded speed greater than 55 miles per hour? 
 A 6 
 B 9 
 C 12 
 D 21 

",6,6.SP.4,MCAS,3
"Mr. Walsh has a sign that is in the shape of a trapezoid. Some of the dimensions of Mr. Walsh’s sign are shown below. 
y2015_grade6_q20_img_1.png 
What is the area of Mr. Walsh’s sign? 
 A 24 sq. ft. 
 B 36 sq. ft. 
 C 42 sq. ft. 
 D 48 sq. ft. 

",6,6.G.1,MCAS,3
"The picture below shows the $$1\frac{1}{2} pans of cookies that Reggie baked. 
y2015_grade4_q12_img_1.png 
Which of the following is another way to write $$1\frac{1}{2}? 
 A $$\frac{11}{2}$$ 
 B $$\frac{18}{2}$$ 
 C $$1\frac{6}{12}$$ 
 D $$1\frac{6}{18}$$ 

",4,4.NF.1,MCAS,1
"Which of these is equivalent to $$ \frac{38]{100} $$ ? 
 A 0.038 
 B 0.38 
 C 38.0 
 D 380 

",4,4.NF.6,MCAS,1
"Ethan is hiking in a canyon. 
 2_1 He is at an elevation that is below sea level. 
 2_2 His elevation is within 200 feet of sea level. 

Which of the following could be Ethan’s elevation in feet? 
 A -300 
 B -150 
 C 150 
 D 300 

",6,6.NS.5,MCAS,3
"The table below shows the amount, in pounds, of snow that Andy can remove over time using a shovel. 
Snow Removal Using a Shovel y2016_grade6_q8_img_1.png 
a. {'element_type': 'number+text', 'element_value': 'Based on the table, what is the amount, in pounds, of snow that Andy can remove in 5 minutes using a shovel? Show or explain how you got your answer.'} 
On the grid in your Student Answer Booklet, copy the x-axis, the y-axis, and the labels exactly as shown below. 
y2016_grade6_q8_img_2.png 
b. {'element_type': 'text-plain', 'element_value': 'On your grid, plot the data from the table to show the amount of snow that Andy can remove over time.'} 
c. {'element_type': 'number+text', 'element_value': 'Based on your graph, what is the amount, in pounds, of snow that Andy can remove in 10 minutes? Show or explain how you got your answer.'} 
",6,6.RP.3,MCAS,3
"Devin wrote a number in expanded form, as shown below. 
500,000 + 90,000 + 3,000 + 20 + 8 
Write Devin’s number in standard form. 
",4,4.NBT.2,MCAS,1
"Ryan put 3 liters of water in a bucket. How much water, in milliliters, did Ryan put in the bucket? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
",4,4.MD.1,MCAS,1
"For this question, you will draw three shapes on the grid in your Student Answer Booklet. 
a. {'element_type': 'text-plain', 'element_value': 'On the grid in your Student Answer Booklet, draw a parallelogram. Label your parallelogram A.'} 
b. [{'element_id': 'b_1', 'element_type': 'text-plain', 'element_value': 'On the grid in your Student Answer Booklet, draw a triangle that has two sides that are perpendicular to each other.'}, {'element_id': 'b_2', 'element_type': 'text-plain', 'element_list': [{'element_id': 'b_2_1', 'element_type': 'text-plain', 'element_value': 'Label your triangle B.'}, {'element_id': 'b_2_2', 'element_type': 'text-plain', 'element_value': 'Put an X on each of the sides that are perpendicular.'}, {'element_id': 'b_2_3', 'element_type': 'text-plain', 'element_value': 'Explain how you know the sides you labeled X are perpendicular.'}]}, {'element_id': '4', 'element_type': 'sub_question', 'sub_question_id': 'c.', 'sub_question': {'element_type': 'text-plain', 'element_value': 'On the grid in your Student Answer Booklet, draw a shape that has at least one pair of parallel sides, at least one pair of perpendicular sides, and only two right angles. Label your shape C.'}}, {'element_id': '5', 'element_type': 'sub_question', 'sub_question_id': 'd.', 'sub_question': {'element_type': 'text-plain', 'element_value': 'What is the mathematical name of the shape you drew in part (c)?'}}] 
",4,4.G.2,MCAS,1
"Ms. Jeffers has 6 boxes of pencils. Each box contains 30 pencils. 
How many pencils does Ms. Jeffers have altogether? 
 A 36 
 B 90 
 C 126 
 D 180 

",3,3.NBT.3,MCAS,0
"A theater has a total of 750 seats. 
 2_1 There are 30 rows of seats in the theater. 
 2_2 Each row has the same number of seats. 

What is the total number of seats in each row of the theater? 
 A 21 
 B 23 
 C 25 
 D 27 

",6,6.NS.2,MCAS,3
"Use your ruler to answer question 18. 
Kyle traced his toy car, as shown. 
y2018_grade3_q18_img_1.png 
What is the length, to the nearest fourth of an inch, of Kyle’s toy car? 
 A $$ 3 \frac{1}{4} $$ inches 
 B $$ 3 \frac{2}{4} $$ inches 
 C $$ 4 \frac{1}{4} $$ inches 
 D $$ 4 \frac{2}{4} $$ inches 

",3,3.MD.4,MCAS,0
"The histogram below represents the number of minutes some students studied for a geography quiz. 
Minutes Spent Studying y2016_grade6_q9_img_1.png 
Based on the histogram, what is the total number of students who studied between 11 and 25 minutes for the geography quiz? 
 A 6 
 B 14 
 C 21 
 D 33 

",6,6.SP.4,MCAS,3
